ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
4.26526964,199.4994515,25634.53328,5.914884438,260.2612056,300.5479288,12.1987325,55.94236583,4.900446069,0
9.266840595,203.2526135,20478.78596,6.83877883,337.2995669,508.2833497,19.16452523,,4.330049469,0
9.619456626,210.2612466,18185.05047,7.939888575,,387.3302154,17.47816192,65.98950708,3.173199767,0
7.086877326,192.3873676,25524.82347,7.354034994,322.7400312,548.917718,14.52440807,64.12439071,3.992848211,0
3.433874059,152.4800753,16318.73361,5.973097827,313.0643165,412.9155386,9.970144463,68.50754203,4.104938403,0
8.436759029,242.4885798,44896.98411,7.863084071,,575.9370182,14.53177739,50.77420795,2.499910135,0
12.24692807,217.3680142,11318.14056,8.465160384,375.8947584,347.6530538,9.762504595,73.83240481,3.533243425,0
7.34303194,198.5307697,14037.03993,5.788346418,,479.2414672,11.09037421,61.10024017,5.288057554,0
4.616438934,192.5740099,14982.30548,6.080029056,,344.1463212,11.09000575,88.48358348,2.634341021,0
8.307462969,229.9412343,18452.64557,6.895145947,338.4837028,464.9009848,9.512102516,84.05341481,4.625729242,0
4.909640554,157.2404584,10488.77094,6.929793189,,311.7457571,11.02379955,48.52552498,5.34532394,0
7.70910636,178.8108276,18610.12415,7.734441196,,462.2011629,13.88870389,64.84163726,4.23510812,0
,173.8167101,26552.9744,6.290279267,293.1702731,366.7187057,13.27149949,72.1298399,3.206995483,0
7.818274839,179.2182173,27558.54253,7.504452893,315.4474916,359.09919,12.61866666,52.37747732,3.329243166,0
8.207458913,189.9421572,17447.99467,6.761682296,,449.4126057,15.3357112,54.9463445,4.151865853,0
6.958534137,187.7488492,13457.21113,7.363593124,330.7503922,350.6034312,16.71915574,77.67129222,4.1946,0
,193.9261804,14936.50397,7.203401351,309.4474322,447.4501082,12.18062591,,4.297913886,0
4.349439999,157.5133609,24352.0661,5.96772234,287.0451104,432.642307,10.66725445,44.28901265,4.442711502,0
6.629985036,195.7003801,21495.53756,6.546463536,363.6919491,335.8047102,11.39509766,66.16522427,2.534499478,0
8.96969739,195.7447648,9049.682595,7.467068018,396.4535684,378.5285112,17.75769652,114.2086714,3.983098818,0
6.77105029,194.6351221,15719.49361,6.746343805,339.0015749,441.7303914,22.89101081,75.47282539,3.244866832,0
6.724639342,223.1754155,41552.01966,7.744699887,271.1571199,463.8852159,13.16503461,61.05879567,2.921414772,0
