ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.243279004,171.1038864,19605.02957,8.268229135,,512.8947171,17.2184173,53.60972652,3.472839213,0
8.214099764,192.1771266,12819.87544,7.536023171,343.4772615,418.6787647,13.35260403,86.97810125,3.38186391,0
,205.6387903,39742.97033,4.660528471,323.9564921,509.5464193,11.67484982,55.04267885,3.916745527,0
,233.0201336,27071.11862,6.220936451,298.112645,357.1196221,16.7689452,51.2844005,4.284878629,0
,220.5525236,28135.07684,7.978098114,307.6524515,421.4642532,17.53229784,86.84809788,3.569570266,0
9.836030547,230.4719215,16103.36055,5.599314066,,300.0624866,14.38371843,61.93929665,4.219118008,0
8.719764332,219.7788985,30681.12026,7.268765089,340.9184904,481.8534152,9.151209133,50.17859554,2.887725422,0
7.009601694,220.561996,18628.69683,6.781680397,,397.996103,14.80867448,77.76353379,3.121944851,0
6.492638846,172.8639603,14625.56136,7.7365695,349.4040572,652.5375916,10.21205821,56.94972417,4.667770161,0
7.814524321,180.3473084,17516.69936,7.489006438,352.2770291,370.0113729,14.28931979,80.88242514,2.901699556,0
9.652562935,205.2060586,8508.15373,4.945416599,386.5411847,392.7674528,12.44653913,53.89803657,3.192569799,0
8.00754122,151.7363219,8864.68648,11.25150735,,447.484361,12.41269116,,5.25017306,0
,170.5500878,17561.27284,8.320209558,349.2919542,374.4638479,10.98914567,73.70144876,3.716659341,0
,204.7349975,33798.10896,6.578160637,,426.0805224,13.94022086,69.05166196,3.845127166,0
7.386837696,189.5958143,29122.697,8.420763302,321.5677645,458.0441705,17.1969431,56.76991473,4.816705216,0
5.497580321,204.6828696,29493.42297,7.604130349,323.6087859,476.8444591,16.6724146,83.41383836,5.060114929,0
6.057828114,230.7176933,44868.45837,6.443391566,,397.2367839,14.03790316,76.70160916,3.292249267,0
,222.8212131,23879.22676,5.082356628,,382.7579656,15.85606224,66.27047668,4.235174415,0
6.268953337,185.7066466,24769.51139,6.717666041,318.2279422,534.5408375,13.62886544,69.13921994,4.674495973,0
,190.9292558,20661.41106,10.17548378,299.3455763,471.0626399,9.225985273,60.02352277,4.969149725,0
6.284984822,196.7750562,29213.62039,8.528792609,334.4777948,574.5406715,11.09589252,,5.703287743,0
9.043095632,181.5666628,8273.591971,6.701041921,,372.551219,9.762360818,65.21633786,4.008499341,0
8.523062079,201.6084925,24207.29803,7.220716207,,436.6259903,15.74063873,63.31050275,5.112376365,0
,183.4648531,19998.85902,7.151888696,337.5395326,294.8468015,10.08866801,66.29916222,4.183319911,0
,193.4002675,30630.75994,6.873568148,342.1932395,430.3956004,17.44681822,49.88365316,2.913048443,0
4.02905271,203.3868565,42327.16802,8.550483092,279.6752556,503.7324283,13.75883583,46.38406377,4.179656267,0
6.412707042,204.3580969,32333.84154,5.204084472,345.7175003,389.2152949,11.14503977,91.20486668,5.014144884,0
6.27629499,184.9520574,28653.47234,6.519434941,335.2577773,470.4296759,11.19848306,,4.342759277,0
7.648877928,188.5069774,22510.97507,8.617208147,,393.293539,12.85451911,73.31350293,4.953533863,0
5.548181849,204.2598994,39997.7837,7.027226156,319.2029353,431.9724289,15.4003962,41.95229157,3.945460484,0
,216.6756187,17870.31525,6.613386703,338.4159388,438.1321035,15.44149005,83.27273575,2.604959925,0
7.468617019,240.3453052,36701.97435,4.536412951,339.2213512,453.2113664,16.10651511,67.95249573,3.384178841,0
,179.1494467,21051.36538,8.887846238,296.9490697,418.2698062,18.80051563,92.09600004,3.764703594,0
7.918150471,214.1866109,23823.49289,7.290877676,341.1733217,411.4244826,19.58500189,25.05737466,4.028958007,0
,191.7642561,10830.80125,6.36288937,,492.200309,17.29164516,43.27254516,4.266775395,0
,181.3746513,14579.82207,5.435058194,,308.7925146,9.545091693,60.21464669,4.161749271,0
5.433242117,201.7812455,31157.11017,7.286392324,304.4252752,451.5571777,10.84209516,87.63401318,3.675717673,0
8.33951161,202.2016242,21295.74988,5.618116053,,428.9503288,15.49138749,81.31532668,4.827704247,0
6.715719088,195.1905985,19966.7447,7.744695763,354.2089232,411.7955029,17.32308073,67.9817406,2.443008006,0
6.09801209,211.4540103,39352.77584,6.212191253,,488.1413127,11.79184027,46.92804133,4.590616741,0
6.576845323,156.2217681,12772.09575,9.759897652,341.7493777,418.9724666,10.38225265,78.30517971,3.771313518,0
4.68109876,220.4761261,38748.41135,4.652513833,306.4511896,442.5305081,10.94126989,,4.125750333,0
8.15121531,219.56005,13699.68071,3.804428299,,460.528736,14.95129501,79.63426081,3.523980506,0
,226.5483539,13584.49034,4.190696211,374.1576208,335.3782115,9.147436119,82.86492863,2.364558912,0
,220.8360348,27319.56903,4.5071016,329.9971883,463.9651678,13.98673533,,5.666547311,0
5.669689566,194.130069,20081.53795,6.778103642,,403.9899202,18.28480665,,3.592133424,0
6.6249436,185.4109329,16360.5663,9.472844969,320.8465069,458.9239774,12.48800692,40.95997374,3.546696372,0
8.273643584,188.1607511,11120.70105,7.410890858,346.3197738,344.1549646,15.31487917,89.44685002,3.331583735,0
,241.8955146,25717.93618,4.239997135,369.541143,474.9374696,15.30606267,48.37421162,4.306218231,0
,221.620058,11954.70073,6.657053081,,391.2387137,12.96143251,,3.282061393,0
10.50966863,213.8768725,16786.92541,6.624220206,,411.2169781,16.59093153,67.74551459,3.505078834,0
5.171434094,207.2805308,44612.75136,7.287925242,300.2542577,552.9075895,12.7237245,52.2377358,2.949431503,0
6.9641983,193.7532798,27408.49933,10.1846046,307.6945221,302.9404332,15.88964959,78.07673798,2.395683182,0
6.548796521,205.168161,13584.90025,3.777648007,,327.967343,15.62751448,51.85036617,4.197305125,0
6.555439264,195.1579765,15405.49648,2.750837309,,436.2780756,10.85526322,,3.79204017,0
9.042582866,221.3201844,14149.49983,5.325852715,366.6684085,377.8579586,13.00844311,87.89616571,4.34844014,0
